상호명,주소,업종대분류,업종중분류,업종소분류,위도,경도
강스네일,서울특별시 마포구 아현동 738,생활서비스,이/미용/건강,발/네일케어,37.550547,126.9524639
GS25대방승화점,서울특별시 동작구 대방동 383-29,소매,종합소매점,편의점,37.5067997,126.9291349
천지식품,서울특별시 관악구 신림동 541,소매,음/식료품소매,식료품점,37.4868283,126.9282666
쉘터,서울특별시 서초구 서초동 1310-5,음식,커피점/카페,커피전문점/카페/다방,37.48818,127.01751
GS25,서울특별시 구로구 구로동 406-6,소매,종합소매점,편의점,37.4945849,126.8845477
GS25,서울특별시 노원구 상계동 767-5,소매,종합소매점,편의점,37.66727,127.07242
GS25,서울특별시 영등포구 양평동 70,소매,종합소매점,편의점,37.53142,126.89373
천리향구이,서울특별시 구로구 구로동 131-16,음식,중식,중국음식/중국집,37.4945849,126.8845477
GS25북가좌태양점,서울특별시 서대문구 북가좌동 306-22,소매,종합소매점,편의점,37.57953,126.91156
대원,서울특별시 중랑구 면목동 129-12,생활서비스,대중목욕탕/휴게,욕탕업-종합,37.58178,127.09034
CU삼성한호점,서울특별시 강남구 대치동 961-13,소매,종합소매점,편의점,37.49882,127.06566
위니비니,서울특별시 종로구 서린동 33,음식,제과제빵떡케익,제과점,37.56925,126.97959
OKPC방,서울특별시 강동구 성내동 50-16,음식,패스트푸드,패스트푸드,37.52998,127.12875
진짜한우,서울특별시 강서구 가양동 1460,소매,음/식료품소매,육류소매,37.5663502,126.8525524
남선푸드,서울특별시 영등포구 영등포동4가 442,소매,음/식료품소매,반찬가게,37.51777,126.90368
세븐일레븐,서울특별시 강북구 수유동 119-11,소매,종합소매점,편의점,37.6352212,127.0090642
GS25,서울특별시 광진구 구의동 252-4,소매,종합소매점,편의점,37.54417,127.09262
GS25,서울특별시 송파구 방이동 122-7,소매,종합소매점,편의점,37.5141564,127.1195472
이천현미와누룽지,서울특별시 송파구 신천동 7,제조,식품가공/제조,종합식품제조,37.5184928,127.1030779
쏠쏠,서울특별시 강남구 대치동 316,소매,의복의류,일반의류,37.5027147,127.0672718
세븐일레븐,서울특별시 서초구 방배동 857-42,소매,종합소매점,편의점,37.4798789,126.9939103
GS25창천제일점,서울특별시 서대문구 창천동 502-7,소매,종합소매점,편의점,,
순희네에프앤비,서울특별시 동대문구 용두동 254-10,제조,식품가공/제조,종합식품제조,37.57616,127.03476
진진바라서초점서초점,서울특별시 서초구 서초동 1553-5,음식,한식,한식/백반/한정식,37.48818,127.01751
GS25면목미래점,서울특별시 중랑구 면목동 108-67,소매,종합소매점,편의점,37.58178,127.09034
GS25,서울특별시 은평구 대조동 9-40,소매,종합소매점,편의점,37.61261,126.9227835
세븐일레븐구로보람점,서울특별시 구로구 구로동 136-7,소매,종합소매점,편의점,37.4945849,126.8845477
GS25,서울특별시 강서구 화곡동 1105-7,소매,종합소매점,편의점,37.54208,126.84656
보떼,서울특별시 마포구 염리동 174-14,소매,화장품소매,화장품판매점,37.54914,126.94915
CU,서울특별시 동작구 상도동 327-13,소매,종합소매점,편의점,37.4988159,126.9441045
공차,서울특별시 강남구 압구정동 429,음식,커피점/카페,커피전문점/카페/다방,37.5300432,127.0313346
GS25,서울특별시 금천구 시흥동 1011,소매,종합소매점,편의점,37.4507049,126.9085555
그린다방,서울특별시 중구 산림동 207-2,음식,커피점/카페,커피전문점/카페/다방,37.56738,126.99578
예인미용실,서울특별시 강북구 번동 148-316,생활서비스,이/미용/건강,여성미용실,,
GS25,서울특별시 강동구 천호동 316,소매,종합소매점,편의점,37.54294,127.12733
베키아앤누보,서울특별시 중구 충무로1가 52-5,음식,양식,기타전문서양음식점,37.56088,126.98318
THE,서울특별시 강동구 명일동 15,소매,의복의류,일반의류,37.54841,127.15158
GS25,서울특별시 종로구 명륜2가 230,소매,종합소매점,편의점,37.58446,126.99869
뷰티샵,서울특별시 동대문구 용두동 39-708,생활서비스,이/미용/건강,비만/피부관리,37.5793038,127.0295865
헤어탑,서울특별시 서대문구 홍은동 398-9,생활서비스,이/미용/건강,여성미용실,37.59296,126.93733
러블리,서울특별시 강북구 미아동 75-296,소매,화장품소매,화장품판매점,,
행복마트,서울특별시 강북구 미아동 315-46,소매,기타판매업,담배소매,37.628995,127.0257543
CU,서울특별시 용산구 신창동 59-4,소매,종합소매점,편의점,37.53586,126.95441
쏭지네일,서울특별시 강북구 미아동 838-76,생활서비스,이/미용/건강,발/네일케어,37.628995,127.0257543
GS25,서울특별시 은평구 갈현동 486-22,소매,종합소매점,편의점,37.62058,126.91102
GS25,서울특별시 송파구 오금동 58-10,소매,종합소매점,편의점,37.50355,127.13379
CU,서울특별시 광진구 화양동 75-2,소매,종합소매점,편의점,37.54408,127.06895
GS25,서울특별시 송파구 삼전동 99-11,소매,종합소매점,편의점,37.5014521,127.0901512
세븐일레븐,서울특별시 강남구 역삼동 683,소매,종합소매점,편의점,37.49988,127.03856
아이리시포테이토,서울특별시 송파구 잠실동 10,음식,패스트푸드,패스트푸드,37.5119567,127.077637
CU,서울특별시 강남구 청담동 10,소매,종합소매점,편의점,37.5235349,127.0496192
본도시락,서울특별시 강남구 청담동 49-8,음식,분식,라면김밥분식,37.5257535,127.0523217
GS25,서울특별시 종로구 관수동 70-4,소매,종합소매점,편의점,37.5688,126.99018
대치떡방,서울특별시 구로구 구로동 3-25,제조,식품가공/제조,종합식품제조,37.4945849,126.8845477
아리수식품,서울특별시 구로구 신도림동 692,소매,음/식료품소매,식료품점,37.50941,126.88285
GS25,서울특별시 강서구 등촌동 667-7,소매,종합소매점,편의점,37.5498936,126.86025
미자,서울특별시 관악구 신림동 1640-31,음식,분식,라면김밥분식,37.4868283,126.9282666
크림팝,서울특별시 노원구 상계동 713,음식,분식,국수/만두/칼국수,37.66727,127.07242
케이투디,서울특별시 구로구 구로동 636-89,제조,식품가공/제조,종합식품제조,37.4945849,126.8845477
한우리,서울특별시 동대문구 장안동 331-10,소매,음/식료품소매,육류소매,37.57105,127.06806
GS25관악신림관악신림점,서울특별시 관악구 신림동 1663-21,소매,종합소매점,편의점,37.4868283,126.9282666
GS25,서울특별시 강서구 화곡동 1065,소매,종합소매점,편의점,37.54208,126.84656
